# Filter database
# 
# new filters denoted by a leading '>', with the format
#     	      '> [filter_name] [exponent scale] [source]'
# exponent scale denotes units; for example:
# 	   -10 = Anstroms
#	   -9 = Nanometers
#	   -6 = Microns
# any integer (or float) number will cause wavelength to be scaled to 10^[exponent scale]
# source is where the filter information was taken from, put something (or null for no information)

> PACS_100 -10 Null
#       lam (ang)   response
       1112500.0      0.80809675
       1113000.0      0.80966930
       1113500.0      0.81104129
       1114000.0      0.81261592
       1114500.0      0.81277882
       1115000.0      0.81193192
       1115500.0      0.81108394
       1116000.0      0.81023486
       1116500.0      0.80938471
       1117000.0      0.80853346
       1117500.0      0.80768113
       1118000.0      0.80682771
       1118500.0      0.80597321
       1119000.0      0.80511761
       1119500.0      0.80426094
       1120000.0      0.80340317
       1120500.0      0.80274724
       1121000.0      0.80412049
       1121500.0      0.80529156
       1122000.0      0.80666653
       1122500.0      0.80783913
       1123000.0      0.80921583
       1123500.0      0.81038997
       1124000.0      0.81034352
       1124500.0      0.80968578
       1125000.0      0.80923086
       1125500.0      0.80857140
       1126000.0      0.80811494
       1126500.0      0.80745376
       1127000.0      0.80658757
       1127500.0      0.80551612
       1128000.0      0.80423911
       1128500.0      0.80316503
       1129000.0      0.80188522
       1129500.0      0.80080851
       1130000.0      0.79973053
       1130500.0      0.80028912
       1131000.0      0.80084789
       1131500.0      0.80140685
       1132000.0      0.80196599
       1132500.0      0.80252530
       1133000.0      0.80328998
       1133500.0      0.80261812
       1134000.0      0.80173998
       1134500.0      0.80086075
       1135000.0      0.79977490
       1135500.0      0.79889341
       1136000.0      0.79801083
       1136500.0      0.79671554
       1137000.0      0.79480107
       1137500.0      0.79288462
       1138000.0      0.79096617
       1138500.0      0.78904573
       1139000.0      0.78712330
       1139500.0      0.78519887
       1140000.0      0.78471761
       1140500.0      0.78485524
       1141000.0      0.78478606
       1141500.0      0.78492324
       1142000.0      0.78485343
       1142500.0      0.78499016
       1143000.0      0.78491971
       1143500.0      0.78464182
       1144000.0      0.78436338
       1144500.0      0.78429167
