Monte Carlo Parameter Chain
Iteration, P, Q, Chi-Square
659 -0.470526 0.529003 1214.212296 
660 -0.914055 0.733332 1218.162142 
661 -1.793728 0.461368 1151.321985 
662 -2.673402 0.189404 1055.694919 
663 -3.553076 0.189404 1020.377576 
664 -3.184939 0.189404 1087.967722 
665 -2.816802 0.189404 1085.577900 
666 -2.448664 0.189404 1082.656586 
667 -2.080527 0.189404 1120.868555 
668 -2.259362 0.189404 1085.540059 
669 -2.438197 0.189404 1085.611223 
670 -2.617031 0.189404 1081.300077 
671 -2.176997 0.540943 1154.047051 
672 -1.736963 0.892481 1225.157318 
673 -1.296929 1.244019 1250.037553 
674 -1.322195 1.426729 1291.140540 
675 -1.347460 1.609438 1316.227571 
676 -1.225538 2.176086 1292.524461 
677 -1.103616 2.742733 1393.299241 
678 -0.869046 2.543365 1444.311835 
679 -0.634476 2.343998 1432.090443 
680 -0.538596 1.693426 1374.200929 
681 -0.442717 1.042855 1307.714666 
682 -0.280406 1.204845 1281.001979 
683 -0.118095 1.366835 1319.600210 
684 -0.115383 1.515378 1392.145666 
685 -0.112670 1.663921 1420.401405 
686 -0.028474 1.496048 1355.882619 
687 -0.028474 1.328175 1328.051788 
688 -0.035221 1.476029 1339.390192 
689 -0.035221 1.594870 1374.540507 
690 -0.035221 1.548601 1298.428578 
691 -0.024531 1.669172 1346.099647 
